Model_type,Optimised,Input,Target,Label_0,Label_1,Accuracy_score,File_name
Logistic_Regression,No,1,1,Healthy,BE_Pre-cancer_Cancer,0.7884615384615384,LogRegDefault_input_1_target_1
Logistic_Regression,No,1,1,Healthy,BE_Pre-cancer_Cancer,0.7884615384615384,LogRegDefault_input_1_target_1
Logistic_Regression,No,1,2,BE,Pre-cancer_Cancer,0.5609756097560976,LogRegDefault_input_1_target_2
Logistic_Regression,No,2,1,Healthy,BE_Pre-cancer_Cancer,0.7692307692307693,LogRegDefault_input_2_target_1
Logistic_Regression,No,1,2,BE,Pre-cancer_Cancer,0.5121951219512195,LogRegDefault_input_2_target_2
Logistic_Regression,No,3,1,Healthy,BE_Pre-cancer_Cancer,0.7692307692307693,LogRegDefault_input_3_target_1
Logistic_Regression,No,3,2,BE,Pre-cancer_Cancer,0.5121951219512195,LogRegDefault_input_3_target_2
Logistic_Regression,No,4,1,Healthy,BE_Pre-cancer_Cancer,0.7884615384615384,LogRegDefault_input_4_target_1
Logistic_Regression,No,4,2,BE,Pre-cancer_Cancer,0.5609756097560976,LogRegDefault_input_4_target_2
Logistic_Regression,Yes,1,1,Healthy,BE_Pre-cancer_Cancer,0.7884615384615384,LogReg_input_1_target_1
Logistic_Regression,Yes,1,1,Healthy,BE_Pre-cancer_Cancer,0.7884615384615384,LogReg_input_1_target_1
Logistic_Regression,Yes,1,2,BE,Pre-cancer_Cancer,0.7073170731707317,LogReg_input_1_target_2
Logistic_Regression,Yes,2,1,Healthy,BE_Pre-cancer_Cancer,0.7884615384615384,LogReg_input_2_target_1
Logistic_Regression,Yes,2,2,BE,Pre-cancer_Cancer,0.6097560975609756,LogReg_input_2_target_2
Logistic_Regression,Yes,3,1,Healthy,BE_Pre-cancer_Cancer,0.7884615384615384,LogReg_input_3_target_1
Logistic_Regression,Yes,3,2,BE,Pre-cancer_Cancer,0.7073170731707317,LogReg_input_3_target_2
Logistic_Regression,Yes,4,1,Healthy,BE_Pre-cancer_Cancer,0.8076923076923077,LogReg_input_4_target_1
Logistic_Regression,Yes,4,2,BE,Pre-cancer_Cancer,0.7073170731707317,LogReg_input_4_target_2
DecisionTree,Yes,1,1,Healthy,BE_Pre-cancer_Cancer,0.7692307692307693,DecTree_input_1_target_1
DecisionTree,Yes,1,2,BE,Pre-cancer_Cancer,0.5365853658536586,DecTree_input_1_target_2
DecisionTree,Yes,2,1,Healthy,BE_Pre-cancer_Cancer,0.7692307692307693,DecTree_input_2_target_1
DecisionTree,Yes,2,2,BE,Pre-cancer_Cancer,0.5609756097560976,DecTree_input_2_target_2
DecisionTree,Yes,3,1,Healthy,BE_Pre-cancer_Cancer,0.7307692307692307,DecTree_input_3_target_1
DecisionTree,Yes,3,2,BE,Pre-cancer_Cancer,0.6585365853658537,DecTree_input_3_target_2
DecisionTree,Yes,4,1,Healthy,BE_Pre-cancer_Cancer,0.6923076923076923,DecTree_input_4_target_1
DecisionTree,Yes,4,2,BE,Pre-cancer_Cancer,0.6097560975609756,DecTree_input_4_target_2
SVM,Yes,1,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,SVM_input_1_target_1
SVM,Yes,1,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,SVM_input_1_target_1
SVM,Yes,1,2,BE,Pre-cancer_Cancer,0.6585365853658537,SVM_input_1_target_2
SVM,Yes,2,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,SVM_input_2_target_1
SVM,Yes,2,2,BE,Pre-cancer_Cancer,0.6585365853658537,SVM_input_2_target_2
SVM,Yes,3,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,SVM_input_3_target_1
SVM,Yes,3,2,BE,Pre-cancer_Cancer,0.6585365853658537,SVM_input_3_target_2
SVM,Yes,4,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,SVM_input_4_target_1
SVM,Yes,4,2,BE,Pre-cancer_Cancer,0.6585365853658537,SVM_input_4_target_2
RandomForest,Yes,1,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,RF_input_1_target_1
RandomForest,Yes,1,2,BE,Pre-cancer_Cancer,0.5365853658536586,RF_input_1_target_2
RandomForest,Yes,2,1,Healthy,BE_Pre-cancer_Cancer,0.8076923076923077,RF_input_2_target_1
RandomForest,Yes,2,2,BE,Pre-cancer_Cancer,0.7317073170731707,RF_input_2_target_2
RandomForest,Yes,3,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,RF_input_3_target_1
RandomForest,Yes,3,2,BE,Pre-cancer_Cancer,0.5853658536585366,RF_input_3_target_2
RandomForest,Yes,1,1,Healthy,BE_Pre-cancer_Cancer,0.8461538461538461,RF_input_1_target_1
RandomForest,Yes,1,2,BE,Pre-cancer_Cancer,0.6829268292682927,RF_input_1_target_2
